dataset_id,pid
CMIP6.OMIP.NOAA-GFDL.GFDL-OM4p5B.omip1.r1i1p1f1.Omon.volcello.gn.v20180701,hdl:21.14100/64206ff6-979d-3fd2-b337-8f1803ac0abf
CMIP6.OMIP.NOAA-GFDL.GFDL-OM4p5B.omip1.r1i1p1f1.Omon.so.gn.v20180701,hdl:21.14100/6af7045e-df4b-3728-89a7-277d911ea3e7
CMIP6.OMIP.NOAA-GFDL.GFDL-OM4p5B.omip1.r1i1p1f1.Omon.so.gr.v20180701,hdl:21.14100/fd3e752b-2b1d-31c0-b3d5-15bd8df6dae8
CMIP6.OMIP.NOAA-GFDL.GFDL-OM4p5B.omip1.r1i1p1f1.Omon.thetao.gn.v20180701,hdl:21.14100/7a45f846-91d1-3ed7-890a-bb2070a34a35
CMIP6.OMIP.NOAA-GFDL.GFDL-OM4p5B.omip1.r1i1p1f1.Omon.thetao.gr.v20180701,hdl:21.14100/1e3f80c4-9b1a-323f-8614-d70bd65734ce
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Ofx.deptho.gn.v20200226,hdl:21.14100/96604f1e-0416-3e87-9567-662ac15c82b4
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.umo.gn.v20200226,hdl:21.14100/5dcd5aa9-3f49-3ff8-afc7-1936d69e225a
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.so.gn.v20200226,hdl:21.14100/4bdc69b5-0cde-3bf9-8989-ac83a8f668ec
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.tauuo.gn.v20200226,hdl:21.14100/4578f939-d9c7-3c43-b128-0de7a2e96327
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.vo.gn.v20200226,hdl:21.14100/b3965208-6eb6-346f-891f-9b59abed715b
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.vmo.gn.v20200226,hdl:21.14100/36dabfc0-dfa1-30e9-8e9b-a6e7a60e72e7
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.masso.gn.v20200226,hdl:21.14100/3562ac68-e3a5-3a4c-93eb-c3134d181762
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.thetao.gn.v20200226,hdl:21.14100/f0483657-1c51-3b4f-a0ec-4fac34310f66
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.tauvo.gn.v20200226,hdl:21.14100/ea5521e3-6c38-388e-ae55-858226f8b404
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.uo.gn.v20200226,hdl:21.14100/8e64d96c-864e-3adc-b7a9-f1643118b9a7
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip2.r1i1p1f1.Omon.tos.gn.v20200226,hdl:21.14100/c2b255b5-34ae-3633-9b4d-0ef2bea20837
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Ofx.deptho.gn.v20200226,hdl:21.14100/d7ec9b36-7827-316a-8acf-1b54df96f7fe
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.umo.gn.v20200226,hdl:21.14100/feccfe07-beba-3ebb-98ac-6d323cdb58f9
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.so.gn.v20200226,hdl:21.14100/c4ed72b5-795c-3a34-ad5d-0ca937c79b21
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.vo.gn.v20200226,hdl:21.14100/8907d7a4-e6ba-3423-bef7-4a4a4c0990f4
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.vmo.gn.v20200226,hdl:21.14100/88f6b1b7-0232-339c-b960-7f67263d1c6b
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.thetao.gn.v20200226,hdl:21.14100/c49ba3db-1b86-30af-afe3-e0428e62ef46
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.tauvo.gn.v20200226,hdl:21.14100/c69d089a-ed95-3561-aa62-0b173acb7645
CMIP6.OMIP.CMCC.CMCC-CM2-SR5.omip1.r1i1p1f1.Omon.uo.gn.v20200226,hdl:21.14100/f82558ea-abe5-3397-b23a-42ae0d228696
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.SImon.siconc.gn.v20190920,hdl:21.14100/860be5c6-3314-37db-9ed4-3b7d23939c6c
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rsdt.gn.v20190920,hdl:21.14100/6c424ec8-87c5-3270-9dca-e11b91a4350c
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.tas.gn.v20190920,hdl:21.14100/6404bf80-115d-3f25-af8d-074e3eeb8c9d
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rlut.gn.v20190920,hdl:21.14100/e7772c4a-315f-3dec-898a-92ef3f8f5c7a
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.pr.gn.v20190920,hdl:21.14100/7e1b6664-f16d-3944-9bf4-924f2c29e38e
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.ts.gn.v20190920,hdl:21.14100/9e2174bc-6747-3912-a07a-5238cf00f519
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rsut.gn.v20190920,hdl:21.14100/36c868a8-af4c-3ee6-a7e5-a6f7e9a67b63
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.evspsbl.gn.v20190920,hdl:21.14100/036cb184-7989-3a7c-952a-49bb44021042
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rlutcs.gn.v20190920,hdl:21.14100/ecf8bf2f-9090-3a33-b285-0ec77b169df4
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rsds.gn.v20190920,hdl:21.14100/07fddd53-5577-3632-8a39-cc50e06f610f
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.hurs.gn.v20190920,hdl:21.14100/b2c66efe-9ce1-3c38-a565-34bcf5a9865f
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Amon.rsutcs.gn.v20190920,hdl:21.14100/d21cc7dd-c56b-3035-8966-213b49aacd1a
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Omon.o2.gn.v20190920,hdl:21.14100/48cd75e3-9866-3589-a547-01803e092a68
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Omon.ph.gn.v20190920,hdl:21.14100/8a83c1de-25d8-3ac0-8960-a1121a0e3c3f
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Omon.zos.gn.v20190920,hdl:21.14100/5f7b2db2-90d5-3a6b-b87c-e405cfc596c8
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Omon.tos.gn.v20190920,hdl:21.14100/54e27d49-428c-3fd4-8e70-58babf0d1645
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Omon.prsn.gn.v20190920,hdl:21.14100/e1dfd23d-0326-320e-b709-1e4b0bfe01b6
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Oyr.o2.gr.v20190920,hdl:21.14100/a447fe96-1e5a-3c30-a764-6bfe857550bf
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Oyr.ph.gr.v20190920,hdl:21.14100/0eac4751-36e2-3705-953f-f2f4257bee47
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Lmon.mrsos.gn.v20190920,hdl:21.14100/6c156d2e-89b0-3ad0-8ce7-6fa75517c151
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.SImon.siconc.gn.v20190920,hdl:21.14100/a52b3161-593f-3d59-a87d-5b265519e25b
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.tas.gn.v20190920,hdl:21.14100/05af7d1d-6e67-3c81-8709-11704130b3ae
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.pr.gn.v20190920,hdl:21.14100/e663ddf0-1fb4-3535-beaa-d17b73da38cc
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.ts.gn.v20190920,hdl:21.14100/e3098428-d43d-3b01-af88-ca9fbcfca309
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.evspsbl.gn.v20190920,hdl:21.14100/5780b6b2-7083-36d6-ba85-0a831da611b4
