3hr.huss	1	-	-	-	-	-	-	-	-
3hr.pr	kg m-2 s-1	-	-	-	-	-	-	-	-
3hr.tas	K	-	-	-	-	-	-	-	-
3hr.uas	m s-1	-	-	-	-	-	-	-	-
3hr.vas	m s-1	-	-	-	-	-	-	-	-
6hrPlev.zg1000	m	-	-	-	-	-	-	-	-
AERmon.abs550aer	1	-	-	-	-	-	-	-	-
AERmon.airmass	kg m-2	-	-	-	-	-	-	-	-
AERmon.ccn	m-3	-	-	-	-	-	-	-	-
AERmon.cdnc	m-3	-	-	-	-	-	-	-	-
AERmon.ch4	mol mol-1	-	-	-	-	-	-	-	-
AERmon.co	mol mol-1	-	-	-	-	-	-	-	-
AERmon.co2	mol mol-1	-	-	-	-	-	-	-	-
AERmon.emidms	kg m-2 s-1	-	-	-	-	-	-	-	-
AERmon.emidust	kg m-2 s-1	-	-	-	-	-	-	-	-
AERmon.emilnox	mol s-1	-	-	-	-	-	-	-	-
AERmon.emiss	kg m-2 s-1	-	-	-	-	-	-	-	-
AERmon.lossch4	mol m-3 s-1	-	-	-	-	-	-	-	-
AERmon.lossco	mol m-3 s-1	-	-	-	-	-	-	-	-
AERmon.mmrbc	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrdust	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrnh4	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrno3	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmroa	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrpm2p5	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrso4	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrsoa	kg kg-1	-	-	-	-	-	-	-	-
AERmon.mmrss	kg kg-1	-	-	-	-	-	-	-	-
AERmon.no	mol mol-1	-	-	-	-	-	-	-	-
AERmon.no2	mol mol-1	-	-	-	-	-	-	-	-
AERmon.o3	mol mol-1	-	-	-	-	-	-	-	-
AERmon.o3loss	mol m-3 s-1	-	-	-	-	-	-	-	-
AERmon.o3prod	mol m-3 s-1	-	-	-	-	-	-	-	-
AERmon.od550aer	1	-	-	-	-	-	-	-	-
AERmon.od550lt1aer	1	-	-	-	-	-	-	-	-
AERmon.od870aer	1	-	-	-	-	-	-	-	-
AERmon.oh	mol mol-1	-	-	-	-	-	-	-	-
AERmon.photo1d	s-1	-	-	-	-	-	-	-	-
AERmon.ps	Pa	-	-	-	-	-	-	-	-
AERmon.ptp	Pa	-	-	-	-	-	-	-	-
AERmon.rlutaf	W m-2	-	-	-	-	-	-	-	-
AERmon.rlutcsaf	W m-2	-	-	-	-	-	-	-	-
AERmon.rsutaf	W m-2	-	-	-	-	-	-	-	-
AERmon.rsutcsaf	W m-2	-	-	-	-	-	-	-	-
AERmon.so2	mol mol-1	-	-	-	-	-	-	-	-
AERmon.toz	m	-	-	-	-	-	-	-	-
AERmon.tropoz	m	-	-	-	-	-	-	-	-
AERmon.ua	m s-1	-	-	-	-	-	-	-	-
AERmon.va	m s-1	-	-	-	-	-	-	-	-
AERmon.wa	m s-1	-	-	-	-	-	-	-	-
AERmon.zg	m	-	-	-	-	-	-	-	-
AERmonZ.ch4	mol mol-1	-	-	-	-	-	-	-	-
AERmonZ.o3	mol mol-1	-	-	-	-	-	-	-	-
AERmonZ.oh	mol mol-1	-	-	-	-	-	-	-	-
AERmonZ.ta	K	-	-	-	-	-	-	-	-
AERmonZ.ua	m s-1	-	-	-	-	-	-	-	-
AERmonZ.va	m s-1	-	-	-	-	-	-	-	-
AERmonZ.zg	m	-	-	-	-	-	-	-	-
Amon.ch4	mol mol-1	-	-	-	-	-	-	-	-
Amon.ch4Clim	mol mol-1	-	-	-	-	-	-	-	-
Amon.clt	%	-	-	-	-	-	-	-	-
Amon.co2	mol mol-1	-	-	-	-	-	-	-	-
Amon.co2Clim	mol mol-1	-	-	-	-	-	-	-	-
Amon.evspsbl	kg m-2 s-1	-	-	-	-	-	-	-	-
Amon.hfls	W m-2	-	-	-	-	-	-	-	-
Amon.hfss	W m-2	-	-	-	-	-	-	-	-
Amon.hurs	%	-	-	-	-	-	-	-	-
Amon.hus	1	-	-	-	-	-	-	-	-
Amon.huss	1	0.05	new	-0.001	new	-	-	-	-
Amon.o3	mol mol-1	-	-	-	-	-	-	-	-
Amon.o3Clim	mol mol-1	-	-	-	-	-	-	-	-
Amon.pr	kg m-2 s-1	-	-	-	-	-	-	-	-
Amon.prsn	kg m-2 s-1	-	-	-	-	-	-	-	-
Amon.prw	kg m-2	-	-	-	-	-	-	-	-
Amon.ps	Pa	-	-	-	-	-	-	-	-
Amon.psl	Pa	-	-	-	-	-	-	-	-
Amon.rlds	W m-2	-	-	-	-	-	-	-	-
Amon.rlus	W m-2	-	-	-	-	-	-	-	-
Amon.rlut	W m-2	-	-	-	-	-	-	-	-
Amon.rlutcs	W m-2	-	-	-	-	-	-	-	-
Amon.rsds	W m-2	-	-	-	-	-	-	-	-
Amon.rsdscs	W m-2	-	-	-	-	-	-	-	-
